TOI,,TESS Disposition,TFOPWG Disposition,t0,t0_err,period,p_err,radius,r_err,st_mass,ecc,e_err,mass,m_err,inc,i_err,multi,Comments
1134,1,PC,FP,2458688.528,0.0005,0,0,18.2358,0.779247,1.226,0,0,,,89,0.2,0,Single transit
1135,1,PC,PC,2459599.313,0.0002494,8.0277253,0.0000035,9.31316,0.418733,1.155,0,0,,,89,0.2,0,variable host star
1136,1,PC,PC,2459612.448,0.0014483,12.5187279,0.0000316,5.58857,0.357814,1.03,0,0,,,89,0.2,1,potential multi-planet system; variable star
1136,2,PC,PC,2459627.528,0.0018953,6.2587919,0.0000191,2.49177,0.138421,1.03,0,0,,,89,0.2,1,potential multi; variable star
1136,3,PC,PC,2459594.183,0.0029089,26.3179537,0.0001195,2.71349,0.151793,1.03,0,0,,,89,0.2,1,possible multi
1136,4,PC,PC,2458697.756,0.002570031,18.80475562,0.000326006,2.540806746,0.45802584,1.03,0,0,,,89,0.2,1,Outer planet in multi
1137,1,PC,PC,2458684.63,0.0027,1.32047,0.00025,41.8014,15.7863,,0,0,,,89,0.2,0,FP; star is a giant; also matched to 1963523488
1138,1,PC,FP,2458684.205,0.00442,0.64971,0.00018,6.23181,0.414634,2.559,0,0,,,89,0.2,0,Possibly EB
1139,1,PC,PC,2459438.887,0.009898,4.4781206,0.0000684,5.87379,0.323397,1.909,0,0,,,89,0.2,0,pulsating star; weak v-shaped signal; contaminating EB affect at least one transit of this signal
1141,1,PC,FP,2459425.49,3.05E-05,16.94870872,5.88E-07,45.22045053,2.1992197,1.08,0,0,,,89,0.2,0,TOI released on secondary of an EB with primary transit visible in multisector data
1143,1,PC,FP,2458694.079,0.00156,11.19602,0.00096,13.4737,3.33685,1.274,0,0,,,89,0.2,0,TFOPWG FP Retired as SB1
1145,1,PC,FP,2458685.816,0.00149,2.97164,0.00034,,,,0,0,,,89,0.2,0,Likely EB
1147,1,PC,FP,2458692.142,0.00068,10.92746,0.00008,25.4722,1.71403,1.217,0,0,,,89,0.2,0,Too large to be a planet for this period (46 RE from MCMC); TFOP FP
1149,1,PC,APC,2459445.507,0.0003827,2.3201503,0.0000034,,,,0,0,,,89,0.2,0,TFOP APC; possible chromaticity; variable hot star; likely too large
1152,1,PC,FA,2458684.091,0.00078,6.5012,0.00003,,,,0,0,,,89,0.2,0,TIC 2317184773 is a phantom TIC star; target is on either 1715469662 or 1715469667
1153,1,PC,APC,2459603.062,0.0005459,6.0360853,0.0000056,8.62359,0.682554,1.689,0,0,,,89,0.2,0,TFOP SB1/APC; v-shaped
1154,1,PC,PC,2459686.962,0.0033523,21.745506,0.0001042,2.0997,0.116118,1.02,0,0,,,89,0.2,0,variable host
1155,1,PC,FP,2458683.926,0.00336,1.32003,0.00037,,,,0,0,,,89,0.2,0,Gaia parameters suggest giant star
1157,1,PC,APC,2459603.766,0.0007837,13.0727479,0.0000184,35.7944,8.17427,1.11,0,0,,,89,0.2,0,v-shaped; size inconsistent with insolation or planetary nature; Rp > 30 Re in qlp-s47-tois
1158,1,PC,FP,2458685.434,0.0013,2.92564,0.00029,11.6113,3.96469,,0,0,,,89,0.2,0,Could be on neighbor
1159,1,PC,FP,2458683.947,0.00363,0.73774,0.0002,5.28215,2.21635,1.37,0,0,,,89,0.2,0,
1160,1,PC,FP,2458683.737,0.00731,2.36549,0.00136,,,,0,0,,,89,0.2,0,
1162,1,PC,PC,2458686.374,0.00187,7.31781,0.00055,,,,0,0,,,89,0.2,0,Matched to 1969293164
1163,1,PC,PC,2459441.801,0.0002846,3.0771797,0.0000064,,,,0,0,,,89,0.2,0,
1164,1,PC,FP,2458686.76,0.00092,3.20806,0.00021,,,,0,0,,,89,0.2,0,Could be on neighbor
1166,1,PC,FP,2458684.934,0.00596,1.88327,0.00072,3.79016,0.187917,1.14,0,0,,,89,0.2,0,
1167,1,PC,FP,2458689.116,0.00382,15.196,0,4.96345,,,0,0,,,89,0.2,0,Period is likely 2x7.6 days
1168,1,PC,FP,2458684.845,0.00063,2.136,0.00009,17.6596,6.92415,1.199,0,0,,,89,0.2,0,
1169,1,PC,PC,2459599.345,0.0002903,6.7075429,0.0000034,17.4647,2.59032,,0,0,,,89,0.2,0,V-shaped; large; close neighbor (TIC 802647158)
1170,1,PC,FP,2458683.481,0.00364,0.91397,0.0002,10.9073,0.484489,1.82,0,0,,,89,0.2,0,
1171,1,PC,FP,2458684.234,0.00372,11.18644,0.0046,14.9183,10.942,1.75,0,0,,,89,0.2,0,Could be on neighbor
1172,1,PC,FP,2458687.796,0.00299,7.85694,0.00223,,,,0,0,,,89,0.2,0,TFOP FP
1173,1,PC,PC,2459635.345,0.000366,7.0643995,0.0000048,9.3403,0.526238,0.917,0,0,,,89,0.2,0,
1174,1,PC,PC,2459657.031,0.0023878,8.9534549,0.0000352,2.37092,0.170715,0.85,0,0,,,89,0.2,0,Possible L1 candidate
1176,1,PC,PC,2459703.919,0.0003424,14.0077441,0.0000078,12.8806,0.542936,1.38,0,0,,,89,0.2,0,apparent secondary due to systematics; fast rotator
1177,1,PC,FP,2458684.338,0.00785,1.69127,0.0011,,,2.572,0,0,,,89,0.2,0,Could be on neighbor
1179,1,PC,APC,2459635.87,0.0003669,1.2615293,0.0000007,4.721530005,0.30420333,0.81,0,0,,,89,0.2,0,TFOPWG BEB/APC; small secondary
1180,1,PC,PC,2459620.974,0.0011873,9.686708,0.0000192,2.98912,0.219139,0.75,0,0,,,89,0.2,0,potential L1 candidate
1182,1,PC,FP,2458689.792,0.00095,7.64245,0.00063,18.5438,2.6428,,0,0,,,89,0.2,0,TFOPWG FP
1184,1,PC,PC,2459707.58,0.0010039,5.7484345,0.0000094,2.53735,0.27221,0.71,0,0,,,89,0.2,0,multiple stars in pixel
1185,1,PC,FP,2458684.475,0.0039,1.19573,0.00033,5.07792,0.39585,1.105,0,0,,,89,0.2,0,Could be on neighbor
1186,1,PC,APC,2459682.063,0.0006154,11.2463142,0.000011,19.3969,0.861274,1.143,0,0,,,89,0.2,0,TFOPWG SB1/APC; strong secondary; too large for insolation; possible eccentric EB
1187,1,PC,PC,2459604.465,0.0011598,2.5941836,0.0000052,4.40052,0.368484,1.28,0,0,,,89,0.2,0,V-shaped; variable host; a second star ~0.17'' south of the brighter target and ~2 mag fainter in K
1188,1,PC,FP,2458687.193,0.00166,8.5112,0.00138,,,2.031,0,0,,,89,0.2,0,Could be on neighbor
1189,1,PC,PC,2459441.286,0.0010364,3.9687994,0.0000134,,,,0,0,,,89,0.2,0,v-shaped; crowded field
1190,1,PC,APC,2459711.423,0.0006179,3.6950122,0.0000086,15.4818,0.651964,1.532,0,0,,,89,0.2,0,likely too large for insolation; variable host star
1192,1,PC,APC,2459422.337,0.016191486,735.046917,0.00129388,23.21003103,15.62371,,0,0,,,89,0.2,0,alerted as single transit at ~1687.3 TBJD with an additional much shallower transit at  ~2021.8 TBJD; now another transit similarly deep to the first at ~2422 TBJD; too large for insolation; v-shaped; likely EB; ~735 days is maximum period of deeper transits; real period likely shorter; could be eccentric EB or multi
1193,1,PC,FP,2458684.205,0.00255,2.22223,0.00043,22.2948,15.5174,,0,0,,,89,0.2,0,
1194,1,PC,PC,2459632.288,0.0001554,2.3106444,0.0000007,8.88618,0.500776,0.918,0,0,,,89,0.2,0,
1195,1,PC,FP,2458686.847,0.00588,4.05135,0.00238,14.2359,0.960524,,0,0,,,89,0.2,0,
1196,1,PC,PC,2459392.324,0.001102686,5.537626642,0.000452116,17.34719196,0.9256808,1.417,0,0,,,89,0.2,0,Check neighbours
1197,1,PC,PC,2458684.087,0.00232,4.59463,0.00085,13.7794,0.566587,1.788,0,0,,,89,0.2,0,
1199,1,PC,PC,2459618.797,0.000599,3.6714634,0.0000041,10.678,0.55726,0.99,0,0,,,89,0.2,0,see observing notes regarding possible SB2
1200,1,PC,FP,2458683.825,0.00094,0.83515,0.00005,7.17826,0.798085,1.149,0,0,,,89,0.2,0,EB; v-shaped; odd-even transit difference
1201,1,PC,CP,2458411.671,0.000732953,2.491977085,7.12E-06,2.218758507,0.9862666,0.480382,0,0,,,89,0.2,0,visual binary; SG1 confirmed that TOI 1201 is the correct source of the TCE (not TOI 393)
1202,1,PC,FP,2458614.434,0.002147,0,0,1.710706,1.250816,,0,0,,,89,0.2,0,Single transit
1204,1,PC,PC,2458569.931,0.001382893,1.381237955,1.17E-05,2.021603351,2.6967528,1.1,0,0,,,89,0.2,0,
1205,1,PC,PC,2458383.241,0.003137871,2.392270281,2.56E-05,3.59059228,0.44561133,1.27,0,0,,,89,0.2,0,Out-of-transit baseline is not flat; bad transit shape; likely SV
1206,1,PC,FP,2458569.713,0.001331,0.831542,0.000039,1.881684,2.170925,,0,0,,,89,0.2,0,Possible background EB
1207,1,PC,PC,2458325.542,0.002003326,2.628249019,1.73E-05,0.929739471,1.2097746,1.1,0,0,,,89,0.2,0,weak signal; centroid offsets scattered around target; sub-Earth Rp
1208,1,PC,PC,2458327.484,0.00175397,3.423899854,1.71E-05,1.816726099,1.443021,0.98,0,0,,,89,0.2,1,potential multi; single transit at ~2380.5 TBJD; check TIC 273985864
1208,2,PC,PC,2458331.12,0.002170489,10.98302883,4.41E-05,2.292795219,1.397018,0.98,0,0,,,89,0.2,1,near 3:1 resonance with TOI 1208.01; 5.6 arcsec companion
1208,3,PC,PC,2458341.802,0.003833349,17.72644904,0.000109486,2.261663965,2.1681116,0.98,0,0,,,89,0.2,1,potential multi; check nearby TIC 273985864 (Tmag~ 12.252)
1209,1,PC,PC,2459314.368,0.0068341,40.7198053,0.000221462,3.089053763,0.9938641,1.08,0,0,,,89,0.2,0,Crowded field. Potential multi. SPOC multisector detection. Epoch from qlp-s39-tois; other parameters from spoc-s01-s39 multisector
1210,1,PC,FP,2459187.359,0.0160266,79.3737538,0.0023152,2.17338,0.281548,0.88,0,0,,,89,0.2,0,Potential egress detected on nearby star with SG1 suggesting possible NEB but not high-enough SNR to be sure.
1211,1,PC,PC,2458363.51,0.003611228,18.16636384,0.00012048,3.131850925,0.54740447,0.98,0,0,,,89,0.2,0,
1212,1,PC,PC,2458402.037,0.035248,105.585089,0.021523,2.503333,0.829922,1.07,0,0,,,89,0.2,0,low SNR; close to momentum dumps
1213,1,PC,FP,2458576.188,0.002091,27.214103,0.003204,8.317461,1.882191,0.95,0,0,,,89,0.2,0,Possible EB; V-shaped; crowded field
1214,1,PC,PC,2459363.416,0.0054343,19.1805928,0.0002241,2.22109,0.166201,0.9,0,0,,,89,0.2,0,potential multi
1215,1,PC,PC,2458570.397,0.001063564,1.212448431,1.02E-05,0.879419,0.99191,,0,0,,,89,0.2,0,visual binary consisting of 2 M dwarfs; high proper motion star
1216,1,PC,PC,2458325.444,0.004621213,4.553983857,4.63E-05,0.902543971,0.53505176,0.67,0,0,,,89,0.2,0,weak signal; detected with SPOC Y1 multisector; very small Rp (~0.9 Re); scattered centroids not towards a particular star
1217,1,PC,PC,2458574.941,0.004959231,41.48561245,0.000483782,12.5121956,0.9374495,1.24,0,0,,,89,0.2,0,
1218,1,PC,PC,2459383.435,0.005796,13.77366615,6.82E-05,2.110534538,0.3569595,0.95,0,0,,,89,0.2,0,Crowded field. Epoch is from qlp-s39-tois; other parameters from spoc-s01-s39 multisector.
1219,1,PC,PC,2459386.478,0.0049188,1.9142262,0.0000159,1.91548,0.106953,1.6,0,0,,,89,0.2,0,Crowded field; v-shaped; possibly BEB or SV;
1220,1,PC,APC,2458439.584,0.002312636,70.36459646,0.001091402,6.574187971,6.886559,1.33,0,0,,,89,0.2,0,Period could 2x or 4x; possibly stellar variability
1221,1,PC,PC,2458404.186,0.00530998,91.682998,0.001016642,3.117224528,0.22665016,1.01,0,0,,,89,0.2,0,Some centroid variation but not towards a particular star
1222,1,PC,PC,2459369.308,0.0041387,10.1943985,4.73E-05,2.367356098,1.140463,1.13,0,0,,,89,0.2,0,TFOP work in progress; epoch is from qlp-s39-tois
1223,1,PC,PC,2458337.745,0.002015903,14.64324494,5.76E-05,3.209158007,1.9384159,1.3,0,0,,,89,0.2,0,Some centroid offset across sectors. TFOP work in progress.
1224,1,PC,PC,2459363.917,0.001943363,4.178273643,7.76E-06,2.18322352,0.1912491,0.396442,0,0,,,89,0.2,0,other possible transit like events in the lightcurve; variable star
1225,1,PC,PC,2459386.83,0.0063242,13.89678743,0.000154061,3.161707941,0.27698752,0.97,0,0,,,89,0.2,1,SPOC multisector detection; epoch from qlp-s39-tois; other parameters from spoc-s01-s39 multisector
1225,2,PC,PC,2458414.55,0.002600952,8.121274468,4.07E-05,2.530393426,0.35807905,0.97,0,0,,,89,0.2,1,potential multi
1226,1,PC,PC,2458438.453,0.001331253,3.928803457,1.43E-05,2.297373318,3.0907683,1.01,0,0,,,89,0.2,0,low SNR L1 candidate from SPOC multisector
1227,1,PC,CP,2458617.476,0.003183296,27.36334303,0.000199931,6.544832485,0.5408184,0.437175,0,0,,,89,0.2,0,now have stellar radius
1228,1,PC,PC,2458348.319,0.001651365,29.05009825,8.82E-05,3.753260188,0.2682765,2.13,0,0,,,89,0.2,0,
1230,1,PC,CP,2458620.317,0.003581192,25.05668599,0.000245386,2.654125662,0.5580837,1.14,0,0,,,89,0.2,0,verified planet candidate
1231,1,PC,CP,2458563.889,0.000605368,24.24558221,3.58E-05,3.709759488,0.16766258,0.462709,0,0,,,89,0.2,0,TOI-1231 b
1232,1,PC,PC,2459356.538,0.0009773,14.2545346,0.0000183,10.759,0.548982,1.05,0,0,,,89,0.2,0,
1234,1,PC,PC,2458685.613,0.005332771,2.264538611,0.001060399,5.193676358,0.5849404,0.404369,0,0,,,89,0.2,0,Period may be at another multiple
1238,1,PC,PC,2459659.537,0.0025958,3.2947591,0.0000121,2.36106,0.118456,0.606665,0,0,,,89,0.2,1,potential multi
1238,2,PC,PC,2458684.103,0.001160446,0.764585509,1.14E-05,1.258249669,1.8642477,0.606665,0,0,,,89,0.2,1,possible L1 candidate in multi system
1241,1,PC,PC,2459421.236,0.0031315,4.780259695,1.65E-05,7.61264293,7.273695,1.05,0,0,,,89,0.2,0,matched to KOI 5.01 (Kepler PC); triple star system
1242,1,PC,PC,2459608.048,0.002661761,0.3814851,0.000001,2.20409,0.359634,0.665,0,0,,,89,0.2,0,Possible L1 candidate; very short period
1243,1,PC,PC,2459598.143,0.0019616,4.6594992,0.0000196,4.49096,2.00104,0.488819,0,0,,,89,0.2,0,potential L1 candidate
1244,1,PC,PC,2459657.79,0.0025367,6.4002616,0.0000241,2.48736,0.211871,0.728,0,0,,,89,0.2,0,Potentially a level one candidate
1245,1,PC,PC,2458684.549,0.001163639,4.820456338,1.84E-05,2.817023257,0.12499565,0.521792,0,0,,,89,0.2,0,Potential level one candidate
1246,1,PC,CP,2459584.411,0.004539808,18.65566942,0.000226437,5.199187427,3.3540568,0.868,0,0,,,89,0.2,1,potential L1 candidate; TOI 1246.01; outer planet to 1246.02 and 1246.03 and inner planet to 1246.04; check neighbor TIC 230127303; potential multi
1246,2,PC,CP,2459444.683,0.0029142,4.307486122,1.30E-05,2.854345995,1.3333277,0.868,0,0,,,89,0.2,1,TOI 1246.02; potential multi
1246,3,PC,CP,2458683.466,0.002730048,5.904144028,8.27E-05,2.773251166,0.2842659,0.868,0,0,,,89,0.2,1,Potential L1 in multi-planet system
1246,4,PC,CP,2458700.709,0.003123368,37.92194979,0.000396437,3.276458522,1.7926333,0.868,0,0,,,89,0.2,1,Multi; 4th candidate; close to 2:1 resonance with .01
1247,1,PC,PC,2459643.06,0.0026139,15.9235438,0.0000744,2.24739,0.121711,1.02,0,0,,,89,0.2,0,potential L1 planet
1248,1,PC,PC,2459694.317,0.001145433,4.360155321,2.83E-06,6.773865231,0.37877882,0.891,0,0,,,89,0.2,0,
1249,1,PC,PC,2459662.233,0.0027015,13.0791729,0.0000561,3.19898,0.20845,0.952,0,0,,,89,0.2,0,
1250,1,PC,FA,2458683.643,0.001753212,1.441504417,0.000167257,3.834520889,3.9494371,1.38,0,0,,,89,0.2,0,Nearby bright star
1251,1,PC,APC,2459663.77,0.0002159,5.9630537,0.0000019,10.0492,,,0,0,,,89,0.2,0,TFOPWG SB1/APC; TFOP SG2 comment
1252,1,PC,PC,2459662.043,0.0003672,1.1219713,0.0000007,9.65076,3.06007,0.674,0,0,,,89,0.2,0,V-shaped; variable host star; possibly synchronized
1254,1,PC,PC,2459693.617,0.001122619,1.018012,0.0000004,8.75744,1.18789,0.952,0,0,,,89,0.2,0,V-shaped; possible odd-even; 2 stars in pixel; possible large-amplitude phase modulation at 2x orbital period
1256,1,PC,FP,2458683.947,0.004218996,1.033244114,0.000323808,4.087988019,8.41243,0.12784,0,0,,,89,0.2,0,TFOP FP
1258,1,PC,PC,2459635.878,0.0021294,10.2613267,0.0000431,3.53011,0.181305,1.157,0,0,,,89,0.2,0,potential L1 planet
1260,3,PC,PC,2458879.323,0.006608383,548.0732288,0.008793198,4.061552933,0.56354445,0.66,0,0,,,89,0.2,1,period may be shorter than maximum period of 548 days; potential multi; two TESS confirmed planets in system
1261,1,PC,PC,2459628.771,0.0040823,18.0575653,0.0001243,3.20052,0.197598,1.071,0,0,,,89,0.2,0,potential L1 planet; variable star
1262,1,PC,PC,2459612.526,0.0026331,20.8775027,0.0002201,2.23545,0.151426,0.94,0,0,,,89,0.2,0,possible multi
1263,1,PC,PC,2459445.58,0.0018337,1.0228925,0.0000066,1.35281,0.110924,0.86,0,0,,,89,0.2,0,potential L1 candidate
1264,1,PC,PC,2459667.028,0.000824651,2.7441674,0.0000012,7.80643,0.523959,0.84,0,0,,,89,0.2,0,2 stars in pixel
1269,1,PC,PC,2459609.498,0.009129289,4.25294735,1.72E-05,2.451145937,0.3335166,0.969,0,0,,,89,0.2,1,L1 candidate; possible multi
1269,2,PC,PC,2458685.98,0.001848429,9.237873329,5.64E-05,2.16857239,1.7059628,0.969,0,0,,,89,0.2,1,Level 1 candidate; potential multi
1270,1,PC,APC,2459695.446,0.000470422,14.3034613,0.0000026,18.4949,1.14648,0.843,0,0,,,89,0.2,0,TFOP SB1/APC; see observing notes; strong secondary; too large for insolation
1272,1,PC,PC,2459661.401,0.001733,3.3159772,0.0000074,4.5947,0.346084,0.825,0,0,,,89,0.2,0,2 stars in pixel
1273,1,PC,PC,2459684.92,0.0015111,4.631303,0.0000089,8.10611,0.559718,1.015,0,0,,,89,0.2,0,v-shaped
1274,1,PC,PC,2459581.78,0.001184837,19.3203602,0.0000251,9.43269,0.695656,0.747,0,0,,,89,0.2,0,
1275,1,PC,PC,2458714.597,0.00718674,11.32468214,0.010262233,4.291722557,0.4109325,0.969,0,0,,,89,0.2,0,Possible single transit (first event).
1276,1,PC,FA,2458712.549,0.004739046,6.264297941,0.002523731,2.337751731,0.2778097,0.180245,0,0,,,89,0.2,0,Potential L1 candidate; could be 3 x period.
1277,1,PC,FA,2458684.965,0.00271759,0,0,3.228772437,1.0754806,0.976,0,0,,,89,0.2,1,Single transit
1277,2,PC,PC,2459635.749,0.002594,14.856058,0.0000816,2.61253,0.15188,0.976,0,0,,,89,0.2,1,period updated to ~14.9 days with qlp-s48-ffi from previous period of ~37 days; possible additional TCE near ~1692 but also near momentum dump
1278,1,PC,CP,2458711.96,0.001545855,14.47621708,0.002192905,9.281245332,19.493498,0.545569,0,0,,,89,0.2,0,v-shaped
1279,1,PC,PC,2459621.206,0.0038686,9.6141168,0.0000674,4.97263,1.93499,0.959,0,0,,,89,0.2,0,potential L1 candidate
1280,1,PC,PC,2459660.567,0.0017005,9.6926635,0.0000298,3.18241,0.251187,0.74,0,0,,,89,0.2,0,two stars in pixel
1281,1,PC,PC,2459597.188,0.005103,6.3908823,0.0000513,2.54868,0.147148,1.19,0,0,,,89,0.2,0,
1284,1,PC,FP,2458711.816,0.00334577,1.283251,0.00030644,2.558112,0.8317096,0.554506,0,0,,,89,0.2,0,Potential L1 candidate; check 267561450
1285,1,PC,FP,2458712.366,0.002608938,1.228438792,0.000257302,1.866262995,1.8184054,0.527126,0,0,,,89,0.2,0,TFOP FP
1286,1,PC,APC,2458711.527,0.000877046,0.616751,3.95E-05,4.540529,3.1102345,1.372,0,0,,,89,0.2,0,TFOP FP retired as BEB
1287,1,PC,PC,2458714.687,0.002036658,9.597280716,0.000151914,2.524887298,0.8939897,1.07,0,0,,,89,0.2,0,Centroid offset; check neighbors; very crowded. Some transits affected by momentum dumps and scattered light
1288,1,PC,PC,2458712.359,0.000251992,2.699829827,6.44E-06,4.721018272,0.31668985,1.181,0,0,,,89,0.2,0,Gemini-NIRI quicklook AO shows a star ~1'' West; fainter than main target.
1289,1,PC,FP,2458711.411,0.002166379,0.581321957,9.82E-05,2.201488612,1.4735351,0.375832,0,0,,,89,0.2,0,short period; possible stellar variability; possible centroid offset
1291,1,PC,PC,2459662.808,0.0038574,7.1619892,0.0000412,4.3774,0.220219,1.2,0,0,,,89,0.2,0,radius may be underestimated due to detrending
1292,1,PC,FP,2458685.09,0.00031,1.44119,0.00002,18.2528,6.56637,1.038,0,0,,,89,0.2,0,odd-even indicates likely FP; TFOP FP
1293,1,PC,PC,2459665.898,0.003114144,1.6849953,0.0000034,3.71244,0.226212,1.08,0,0,,,89,0.2,0,slight centroid offset not towards any particular star; multiple stars in pixel
1294,1,PC,PC,2459663.162,0.000592,3.9152737,0.000004,9.43435,0.490566,1.02,0,0,,,89,0.2,0,evolved host
1295,1,PC,PC,2459664.023,0.0001924,3.196885,0.000001,15.3227,0.699007,1.32,0,0,,,89,0.2,0,likely hot Jupiter; cleared by SG2
1297,1,PC,FP,2458686.939,0.0005,3.93034,0.00007,14.8838,,,0,0,,,89,0.2,0,TFOP FP
1301,1,PC,PC,2459582.273,0.002146884,6.096382157,1.45E-05,2.484186475,0.6306397,0.77,0,0,,,89,0.2,0,L1 candidate; potential multi
1302,1,PC,PC,2459693.07,0.00075874,5.6666161,0.0000022,14.8118,0.620408,1.346,0,0,,,89,0.2,0,TRES SG2 observations consistent with hot Jupiter
1303,1,PC,FP,2458684.136,0.00222,1.56029,0.00012,18.4825,5.76818,1.5,0,0,,,89,0.2,0,1-sigma centroid offset; possible secondary
1304,1,PC,FP,2459434.725,0.0020295,8.8734854,0.0000431,5.10094,0.41591,1.104,0,0,,,89,0.2,0,centroid offset centered on another star
1305,1,PC,FP,2458687.799,0.00338,7.85021,0.00111,,,,0,0,,,89,0.2,0,TFOP FP; Might be on other star; possible secondary and odd-even
1306,1,PC,FP,2458683.635,0.00146,7.68666,0.00047,21.4829,1.49023,,0,0,,,89,0.2,0,TFOP FP
1307,1,PC,APC,2459693.166,0.001711595,2.5346123,0.0000011,,,,0,0,,,89,0.2,0,Teff = 5000 + plx = 1.5 indicate subgiant or giant; no stellar parameters; 650 ppm secondary; TFOP APC/VPC+
1308,1,PC,FP,2459446.29,0.0025542,1.3797091,0.0000062,22.2329,6.4039,1.245,0,0,,,89,0.2,0,centroid offset centered on another star; likely EB
1309,1,PC,FP,2458684.763,0.00206,1.49861,0.00012,,,2.21,0,0,,,89,0.2,0,TFOP FP
1310,1,PC,FP,2458685.471,0.00043,2.6796,0.00003,11.8862,0.593028,1.084,0,0,,,89,0.2,0,FP from TFOP; 2 stars in pixel; source of transits is TOI 1454.01; possible synchronization
1311,1,PC,APC,2459392.644,0.000568558,6.140641695,0.00011029,26.51746865,6.229911,1.99,0,0,,,89,0.2,0,Very large for period; likely EB; small secondary;  v-shaped; TFOPWG SB1/APC
1312,1,PC,PC,2459441.433,0.0009407,11.0765435,0.0000176,13.1631,0.600324,1.26,0,0,,,89,0.2,0,see observing notes for mass estimates (~0.1 solar mass)
1313,1,PC,FP,2458684.289,0.00249,0.61944,0.00005,6.24412,0.557919,,0,0,,,89,0.2,0,
1314,1,PC,FP,2458713.141,0.00517,2.63999,0.00043,7.79276,,,0,0,,,89,0.2,0,Noisy evolved star; low SNR transit
1315,1,PC,FP,2458711.977,0.00447,2.57282,0.00094,26.1167,8.24199,2.052,0,0,,,89,0.2,0,
1316,1,PC,FP,2458684.061,0.00539,3.80509,0.00058,8.57193,0.655497,1.36,0,0,,,89,0.2,0,Slight aperture depth correlation
1317,1,PC,FP,2458711.858,0.00738,2.99041,0.00173,24.2511,9.66611,2.13,0,0,,,89,0.2,0,
1318,1,PC,PC,2458712.04,0.00541,4.99024,0.00217,,,,0,0,,,89,0.2,0,
1319,1,PC,FP,2458712.797,0.00352,1.78411,0.00041,3.8132,0.179529,0.88,0,0,,,89,0.2,0,Potential L1 candidate
1320,1,PC,PC,2458713.015,0.00185,3.97122,0.00077,,,,0,0,,,89,0.2,0,
1321,1,PC,FP,2458712.26,0.0023,1.19888,0.00025,20.5525,1.59543,,0,0,,,89,0.2,0,Large and slight depth-aperture correlation
1322,1,PC,APC,2458711.45,0.00104,3.37644,0.00031,,,2.54,0,0,,,89,0.2,0,TFOP FP
1324,1,PC,PC,2458712.04,0.00738,2.94527,0.00186,5.72314,0.447889,1.484,0,0,,,89,0.2,0,
1325,1,PC,FP,2458711.996,0.00483,1.07922,0.00042,2.27684,0.15601,0.68,0,0,,,89,0.2,0,Slight depth-aperture correlation but scatter also increased; potential L1 candidate
1326,1,PC,APC,2458714.018,0.00118,8.04169,0.00089,,,,0,0,,,89,0.2,0,Period could be 2x
1327,1,PC,APC,2459443.03,0.001424,3.9392124,0.0000107,14.6713,0.659508,2.185,0,0,,,89,0.2,0,synchronized variability; large and v-shaped
1328,1,PC,PC,2458715.45,0.00569,4.01677,0.00096,6.47219,0.464065,1.37,0,0,,,89,0.2,0,
1329,1,PC,FP,2458712.723,0.00808,2.01976,0.00179,7.3626,0.517527,1.743,0,0,,,89,0.2,0,
1330,1,PC,PC,2458712.415,0.00438,1.748063,0.00066,,,,0,0,,,89,0.2,0,limited stellar information; likely giant from Gaia DR2 parallax~0.09 and temp~3300K; Transits phased with oot variability
1331,1,PC,FP,2458712.518,0.00458,2.65646,0.00109,12.1711,0.791407,1.333,0,0,,,89,0.2,0,
1332,1,PC,FP,2458712.514,0.00498,2.65688,0.00121,,,1.57,0,0,,,89,0.2,0,
1333,1,PC,CP,2458715.117,0.00055,4.72088,0.00009,14.2252,0.611843,1.42,0,0,,,89,0.2,0,
1334,1,PC,FP,2458686.467,0.00263,4.03349,0.00044,23.4514,,,0,0,,,89,0.2,0,
1335,1,PC,FP,2458685.603,0.00547,3.33041,0.00068,28.8257,10.0894,1.92,0,0,,,89,0.2,0,Slight depth aperture correlation
1336,1,PC,FP,2459442.068,0.002196,3.8615978,0.0000159,13.8394,3.77713,1.69,0,0,,,89,0.2,0,likely eccentric EB; 1000ppm secondary;
1337,1,PC,KP,2459335.352,0.000302792,3.344911508,7.36E-05,20.55221943,0.7752619,2.38,0,0,,,89,0.2,0,KELT-26 b; (Rodriguez Martinez et al; arxiv:1912.01017.pdf); WASP-178 b
1340,1,PC,FP,2458683.69,0.005049253,8.587466797,0.004981359,5.374472103,0.9241127,1.081,0,0,,,89,0.2,0,Centroid offset centered on 233681148; very likely EB; TFOP FP
1341,1,PC,FP,2459433.723,0.0007278,6.4474972,0.0000126,19.6202,5.37634,1.407,0,0,,,89,0.2,0,TFOP APC; significant secondary in spoc-s14-s41 multisector (849 ppm)
1342,1,PC,FP,2458684.476,0.00112,1.41354,0.00006,,,,0,0,,,89,0.2,0,TFOP FP
1343,1,PC,FP,2458714.787,0.00978,3.40304,0.00101,4.06282,0.653818,2.452,0,0,,,89,0.2,0,Some depth-aperture correlation; crowded field
1345,1,PC,PC,2458715.459,0.01811,8.47134,0.00488,16.9325,,,0,0,,,89,0.2,0,Marginal
1346,1,PC,PC,2458687.724,0.001161466,5.502541957,2.46E-05,2.263769699,1.021505,0.819,0,0,,,89,0.2,1,multi; potential level 1 candidate
