TOI,,TESS Disposition,TFOPWG Disposition,t0,t0_err,period,p_err,radius,r_err,st_mass,ecc,e_err,mass,m_err,inc,i_err,multi,Comments
270,1,CP,CP,2459198.961,0.0005277,5.660569316,3.86E-06,2.407087231,0.11973171,0.362274,0,0,,,89,0.2,1,TOI-270 c / TOI 270.01
270,2,CP,CP,2458389.679,0.000584919,11.37956534,1.51E-05,2.253946448,0.10260336,0.362274,0,0,,,89,0.2,1,TOI-270 d / TOI-270.02
270,3,CP,CP,2458383.733,0.000708464,3.360137707,8.61E-06,1.184371827,0.737667,0.362274,0,0,,,89,0.2,1,TOI-270 b / TOI 270.03
294,1,CP,CP,2459450.646,0.000769597,7.32829,0.00054,9.70482,0.781804,0.711,0,0,,,89,0.2,0,HATS-72 b; only epoch updated with spoc-s42 due to 2x period
396,1,CP,CP,2459120.538,0.001943347,5.973912449,1.87E-05,2.391773469,0.123329535,1.24,0,0,,,89,0.2,1,HR 858 c / TOI 396.01
396,3,CP,CP,2459117.261,0.002345342,11.23046048,4.55E-05,2.075466457,0.20931257,1.24,0,0,,,89,0.2,1,HR 858 d
402,1,CP,CP,2459139.127,0.0027008,4.755973679,1.85E-05,1.725417023,0.6993496,0.88,0,0,,,89,0.2,1,HD 15337 b
402,2,CP,CP,2459118.956,0.0036838,17.18072136,4.58E-05,2.195403439,1.6291252,0.88,0,0,,,89,0.2,1,HD 15337 c
421,1,CP,CP,2459195.308,0.0007124,16.06752202,1.73E-05,4.79096167,0.34581897,0.92,0,0,,,89,0.2,1,TOI-421 c / TOI-421.01
421,2,CP,CP,2458441.281,0.001548711,5.197685836,2.94E-05,1.925734586,0.9877214,0.92,0,0,,,89,0.2,1,TOI-421 b / TOI-421.02
442,1,CP,CP,2459196.115,0.0005086,4.0520368,0.0000044,4.952313354,0.17886217,0.594367,0,0,,,89,0.2,0,LP 714-47 b
451,1,CP,CP,2458416.635,0.001275692,16.36487304,4.92E-05,3.924832159,0.5098805,0.96,0,0,,,89,0.2,1,TOI-451 d / TOI-451.01
451,2,CP,CP,2458410.999,0.001246278,1.858662423,1.35E-05,1.93236572,1.8722088,0.96,0,0,,,89,0.2,1,TOI-451 b
451,3,CP,CP,2458411.806,0.00203154,9.191079151,9.69E-05,2.725100613,0.87950623,0.96,0,0,,,89,0.2,1,TOI-451 c
455,1,CP,CP,2459168.295,0.0007279,5.358775952,7.55E-06,1.445415407,0.29846486,0.249439,0,0,,,89,0.2,0,LTT 1445 A b
481,1,CP,CP,2459317.47,0.000753532,10.33115642,4.82E-06,11.79417272,0.58679265,1.04,0,0,,,89,0.2,0,TOI-481 b
488,1,CP,CP,2459228.978,0.002159033,1.197995928,8.60E-06,1.121726152,1.5192634,0.33944,0,0,,,89,0.2,0,GJ 3473 b
503,1,CP,CP,2459573.196,0.00022,3.6773551,0.0000019,11.5816,0.456453,1.835,0,0,,,89,0.2,0,confirmed brown dwarf
509,1,CP,CP,2459563.389,0.001391,9.0588586,0.000025,2.72745,0.143904,0.98,0,0,,,89,0.2,1,HD 63935 b / TOI 509.01
509,2,CP,CP,2459231.828,0.001389024,21.40165441,0.000120534,3.001042624,0.6084392,0.98,0,0,,,89,0.2,1,HD 63935 c / TOI 509.02
530,1,CP,CP,2459530.544,0.00236408,6.387584167,7.49E-06,8.434788946,0.3639357,0.540526,0,0,,,89,0.2,0,TOI-530 b; now CP (Gan et al. 2021)
540,1,CP,CP,2459175.142,0.000952436,1.239153364,4.90E-06,0.965470636,0.41618714,0.166161,0,0,,,89,0.2,0,TOI-540 b
558,1,CP,CP,2459133.407,0.0009731,14.57289854,0.000819005,13.53006831,0.6676787,1.12,0,0,,,89,0.2,0,TOI-558 b / TOI 558.01
561,1,CP,CP,2459561.826,0.002596,10.7787735,0.000049,2.73993,0.177022,0.95,0,0,,,89,0.2,1,TOI-561 c / TOI-561.01
561,2,CP,CP,2459279.795,0.0017336,0.446569432,1.21E-05,1.370840327,1.1212907,0.95,0,0,,,89,0.2,1,TOI-561 b / TOI-561.02
561,3,CP,CP,2458521.854,0.005777774,16.35738526,0.000200397,2.15624236,0.41169757,0.95,0,0,,,89,0.2,1,TOI-561 f / TOI-561.03; clean transit affected by heavy gapping from candidate .02 at 0.4 days
562,1,CP,CP,2459272.676,0.0012768,3.930596782,6.39E-06,1.217009228,0.6992558,0.34592,0,0,,,89,0.2,0,GJ 357 b
564,1,CP,CP,2459251.312,0.0004672,1.651147059,2.85E-06,7.975376992,0.6733267,0.977,0,0,,,89,0.2,0,TOI-564 b / TOI-564.01
569,1,CP,CP,2459270.5,0.0007099,6.5562078,0.0000147,8.40415,0.433515,1.04,0,0,,,89,0.2,0,crowded field; confirmed BD
576,1,CP,CP,2459270.174,0.0005961,5.443533567,4.41E-06,7.003812111,0.3409527,1.141,0,0,,,89,0.2,0,WASP-166 b
625,1,CP,CP,2459242.559,0.0002446,4.786955,0.0000023,18.5954,0.690011,1.796,0,0,,,89,0.2,0,HAT-P-69 b; likely hot Jupiter
626,1,CP,CP,2459250.3,0.0002663,4.4010437,0.0000024,19.8248,0.664152,2.11,0,0,,,89,0.2,0,KELT-25 b (Rodriguez Martinez et al; arxiv:1912.01017.pdf); TFOP CP
652,1,CP,CP,2459272.446,0.0022709,3.984676773,1.04E-05,2.108523499,0.777323,1.09,0,0,,,89,0.2,0,HD 86226 c
657,1,CP,CP,2459283.032,0.001460856,4.569669803,5.93E-06,13.05829275,0.6644163,1.11,0,0,,,89,0.2,0,HATS-19 b
674,1,CP,CP,2459301.778,0.0003876,1.977163666,1.09E-06,5.057483132,0.18755627,0.416017,0,0,,,89,0.2,0,TOI-674 b
677,1,CP,CP,2459266.617,0.0003457,11.23660493,4.15E-06,12.98760369,0.5915756,1.18,0,0,,,89,0.2,0,TOI-677 b / TOI-677.01
700,1,CP,CP,2459303.157,0.001218,16.05114065,1.88E-05,2.601533659,0.107455075,0.413261,0,0,,,89,0.2,1,TOI-700 c / TOI-700.01 ; epoch from qlp-s38-tois; all other parameters from spoc-s01-s39
700,2,CP,CP,2458330.475,0.003244057,37.42433658,0.000210291,1.144680779,0.87371707,0.413261,0,0,,,89,0.2,1,TOI-700 d / TOI-700.02
700,3,CP,CP,2459349.037,0.0041717,9.977313453,3.23E-05,0.971396376,1.420673,0.413261,0,0,,,89,0.2,1,TOI-700 b / TOI-700.03; epoch from qlp-s38-tois; other parameters from spoc-s01-s39
704,1,CP,CP,2459319.129,0.002441,3.814293553,6.37E-06,1.09124112,0.9302629,0.502062,0,0,,,89,0.2,0,LHS 1815 b
731,1,CP,CP,2459304.838,0.0010745,0.321925795,6.21E-06,1.0276774,0.15093485,0.454797,0,0,,,89,0.2,0,GJ 367 b
732,1,CP,CP,2458543.907,0.000747889,0.768390381,9.60E-06,1.140644696,1.5143634,0.362023,0,0,,,89,0.2,1,LTT 3780 b / TOI-732.01
732,2,CP,CP,2458546.85,0.001064462,12.25217688,4.33E-05,2.074756536,0.8607957,0.362023,0,0,,,89,0.2,1,LTT 3780 c / TOI-732.02
736,1,CP,CP,2459285.015,0.001133525,4.989903154,7.78E-06,2.283532257,0.22025356,0.14169,0,0,,,89,0.2,1,LP 791-18 c / TOI 736.01
736,2,CP,CP,2458543.558,0.000734085,0.947995059,1.45E-05,1.20107306,0.45076677,0.14169,0,0,,,89,0.2,1,LP 791-18 b
763,2,CP,CP,2459309.606,0.004551643,12.27730618,8.43E-05,3.072549112,0.23221853,0.97,0,0,,,89,0.2,1,TOI-763 c / TOI-763.02
776,1,CP,CP,2459324.535,0.0029155,15.66531838,5.04E-05,1.923364911,0.5622469,0.52973,0,0,,,89,0.2,1,TOI-776 c / TOI 776.01
813,1,CP,CP,2459125.847,0.0113373,83.89675274,0.000448159,7.177992446,0.45230278,1.05,0,0,,,89,0.2,0,TOI-813 b; CTOI from Planet Hunters TESS
